Наименование,Регион,Метро,Округ,Район,Городской округ МО,Тип,Класс здания,Площадь,Цена,Цена за м²,Тип объекта,Дата публикации объявления,Дата обновления объявления,Номер в каталоге,Адрес,Ссылка,Описание
"Офис, 7500 м²",Москва,Площадь Ильича,ЦАО,Таганский,,Коммерческая недвижимость,,7500 м²,149 000 000 ₽,19 867 ₽,Офис,16/6/2020,19/8/2020,2644714850,"Москва, Волочаевская улица, 11/15с1, Таганский, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-2644714850,"Здание Дома культуры ""Серп и Молот"" (залы с высокими от 20 метров потолками, а также административной частью), год строительства 1940. Комплекс состоит из двух строений: стр. 1 площадью 3 816 кв.м. и стр. 2 площадью 2 756 кв.м. Ранее существовавшее строение 3 было снесено, площадь его была 865 кв.м., имеется разрешение на его восстановление. выделенная электрическая мощность составляет 330 кВт. К зданию ведет широкая лестница, входная группа выделена козырьком полуциркульного профиля на круглых опорах.Территория окружена металлическим забором состоящим из металлической сетки. Основной корпус (стр. 1) имеет большой зал с максимальной высотой 22 метра и разноуровневые помещения с высокими и широкими стеклянными фасадами. Второе строение представляет собой административное здание коридорного типа. С улицы к основному входу ведет широкая парадная лестница.Театральный зал с фойе - широкой горизонтальной лентой остекления, с ним зарифмован длинный вытянутый козырек над главным входом. Дворец культуры перестраивался в 1950-е годы, когда у него на фасадах появились неоклассицистические детали на фасадах рустовка и лепнина на потолке."
"Офис, 2350 м²",Московская область,,,,Лобня,Коммерческая недвижимость,B,2350 м²,60 000 000 ₽,25 532 ₽,Офис,14/7/2020,19/8/2020,2714703102,"Московская область, Лобня, улица Ленина, 37, Лобня, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-lobnya-2714703102,"Продажа здания, общей площадью 2 347,9 кв.м, Земельный участок  1000кв. м в долгосрочной аренде.  Действующее  общежитие, здание 1963 года постройки. Центральные коммуникации, на 85%  заполнен арендаторами. Находится 1 километре от ЖД станции Лобня, в 500  метрах от администрации города. Действующий бизнес. всего 245 койкомест"
"Магазин, 5022 м²",Москва,Окружная,СВАО,Марфино,,Коммерческая недвижимость,,5022 м²,273 000 000 ₽,54 361 ₽,Магазин,12/12/2016,18/8/2020,175386177,"Москва, Гостиничная улица, 10Вс1, Марфино, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-175386177,"Продается многофункциональное здание общей площадью 5022 кв.м., расположенное по адресу: г. Москва, ул. Гостиничная д. 10В.Земельный участок: 8 648 кв. м. в долгосрочной аренде до 2021 года.Парковка: более 120 машиномест.Планировка свободная, с колоннами, любое назначение, потолки до 6 м.УНИКАЛЬНОЕ МЕСТОПОЛОЖЕНИЕ ОБЪЕКТА к 2020 году!В сентябре 2019 открытие северного вестибюля метро Окружная в 150 метрах от продаваемого Здания!150 метром от ТПУ Окружная - одного из самых крупных транспортно-пересадочных узлов Москвы (120 000 человек/ сутки)В 2020 запуск движения по Северо-западной хорде, которая пройдёт вокруг островка, на котором расположено Здание с заездом и разворотами в обе стороны!Отличный вариант для инвестирования! Объект сдан в долгосрочную аренду.Все коммуникации (водоснабжение, канализация, электричество, теплоснабжение) центральные!Собственник!Форма сделки - прямой договор купли-продажи."
"Производство, 7646 м²",Московская область,,,,Подольск,Коммерческая недвижимость,,7646 м²,133 000 000 ₽,17 395 ₽,Производство,28/5/2018,18/8/2020,254080956,"Московская область, Подольск, Большая Серпуховская улица, 43, Подольск, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-podolsk-254080956,"Собственник продает производственно- офисный корпус, площадью 7646 кв.м. Все помещения сданы в аренду. В наличии вся инфраструктура, электричество, газ, вода, канализация, интернет, охрана, видеонаблюдение. Отличный арендный бизнес, все готово."
"Коммерческая недвижимость, 18144 м²",Московская область,,,,Сергиев Посад,Коммерческая недвижимость,,18144 м²,11 861 952 ₽,654 ₽,Коммерческая недвижимость,13/8/2020,22/8/2020,2786288938,"Московская область, Сергиев Посад, микрорайон Семхоз, Сергиев Посад, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-sergiev_posad-2786288938,"Объекты недвижимости, расположенные на земельных участках с кад. № 50:05:0000000:82696 (18144кв.м.) и кад. № 50:05:0000000:82697 (1 553 634 кв.м.),  комплекты оборудования птичников, принадлежащие ФГУП ППЗ «Конкурсный».При покупке недвижимости у нового собственника будет возможность оформить право бессрочного пользования земельными участками, на которых находятся объекты недвижимости. Все объекты недвижимости расположенные на участках находятся в удовлетворительном состоянии, по запросу могу предоставить отчет по оценке рыночной стоимости.Данный объект реализуется по федеральному закону ФЗ 127.  Помогу подготовить необходимые документы для выкупа данного объекта. Комиссия по результату работы!Работаю по агентскому договору.Есть возможность оплаты комиссии на р/с.-Этапы понижения цены:25.08.2020 - 23723902,80 рублей30.08.2020 - 11861951,40 рублейОплата имущества производится в течении 30 дней со дня подписания договора купли-продажи."
"Производство, 2180 м²",Московская область,,,,Троицк,Коммерческая недвижимость,,2180 м²,25 700 000 ₽,11 789 ₽,Производство,2/2/2019,17/8/2020,264496999,"Москва, поселение Филимонковское, квартал № 156, Троицк, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-troitsk-264496999,"Новая Москва! 16 км от МКАД.На участке 0.5 ГА, производственное помещение, под реконструкцию. Все коммуникации. Собственность. Документы готовы.Участок около 0,5 га с готовым разрешением на строительство склада или складско-офисного комплекса 2100 кв.м. Можно под производственные нужды. Есть удобные выезды на Калужское и Киевское шоссе для фур и длинномеров.Территория бизнес-парка, возле строящегося шоссе ""Марьино - Саларьево"", которое всего через год свяжет участок с крупнейшимибизнес-комплексами ""ФудСити"" и ""Румянцево"" скоростной бессветофорной магистралью!Географический центр Москвы.Идеально подходит для логистического центра!Разумный торг.Участок 0,5 га правильной формы с удобными подъездными путями. Расположен на охраняемой территории с круглосуточным доступом.На участке расположено основание от разобранного здания площадью 2100 кв.м., на здание имеются действительные документы, технический план, свидетельство о собственности, что позволяет быстро начать строительство нового здания как реконструкцию существовавшего ранее. Имеется ж/б фундамент-плита на всю площадь с направляющими стенамиПлан строительства дорог в Новой МосквеК участку подходят все центральные коммуникации: водоснабжение, канализация, центральное отопление. Электричество доступно в любом количестве. Асфальтированный подъезд до участка. В 30 м от границ участка проходит газовая труба, что позволяет при необходимости подвести газ. Земля и здание в собственности. Соседи - склады и производства. От метро на автобусе 20 мин езды, остановка в 5-ти минутах ходьбы от участка. Цена снижена!"
"Коммерческая недвижимость, 2800 м²",Московская область,,,,Протвино,Коммерческая недвижимость,,2800 м²,15 000 000 ₽,5 357 ₽,Коммерческая недвижимость,28/2/2020,13/8/2020,2351051853,"Московская область, городской округ Серпухов, деревня Дракино, Протвино, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-protvino-2351051853,"Продается Дом - 10 строений,построенных в зимнем варианте = пеноблок + облицовочный кирпич(необслуживаемый вариант стен - не требуют ухода и ремонта,дополнительная теплоизоляция помещения): 1 дом - владельца,с гаражом(черновая отделка) - большой,просторный,с видом на реку, 7 домов под сдачу(полностью мебелированы,мебель ,кухни ,посуда,белье,имеющие автономное отопление,туалет ,душ,вода гор\хол, и т.д.,у домов территория обнесенная плетнем для установки мангалов и летней мебели), 1 дом - русская баня на дровах с комнатой отдыха,туалетом ,душем и большой парилкой, 1 дом для персонала(так же со всеми удобствами, + птичник,участок обнесен оцинкованным забором (2.3 метра),на территории: стоянка для авто на 9 а\м,огород,птичник,скважина,басейн,смотровая площадка,плодовые деревья около 70 шт(вишня ,груша,черешня,слива,яблоня),плодовый кустарник(крыжовник,смородина,ползущая вишня,малина,ежевика,голубика,виноград),клубника,а также луговые травы: зверобой,луговой щавель,донник,иан-чай и т.д.....,большой погреб,дорожки стоянка и дорожки выполнены из гранитной плитки,первая линия к реке,выход на речку,на берегу места для купания,спуска катеров и лодок,рыбной ловли, до реки 100 метров , деревня обнесена хвойными лесами что благоприятно сказывается на людях  с проблемами дыхательных путей,гипертонии,олергиков....,ЭКОЛОГИЧЕСКИ ЧИСТЫЙ РАЙОН,76 КМ ОТ МКАД,до г Серпухова - 2 км,данный комплекс позволяет проживать как владельцу так и вести туристический и арендный бизнес, на участок проведено 45 КВТ эл энергии!!!!,что дополнительно позволит разместить и  подключить станки средней мощности!!!,более 5 лет в собственности,возможность задействовать прилегающую землю для земледелия и бизнеса..,прямая продажа,юридическая чистота.."
"Производство, 4800 м²",Московская область,,,,Наро-Фоминск,Коммерческая недвижимость,,4800 м²,33 000 000 ₽,6 875 ₽,Производство,2/3/2020,13/8/2020,2361105559,"Московская область, Наро-Фоминск, Московская улица, 13А, Наро-Фоминск, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-naro_fominsk-2361105559,"Промбаза с ж/д. Подъезд еврофуры. От Киевского шоссе 500 метров. Удобный асфальтируемый подъезд. Огороженная забором и в плитах территория 4800 метров . Ангары тёплые. Свет, вода скважина, канализация, котельная."
"Производство, 12500 м²",Московская область,,,,Кашира,Коммерческая недвижимость,,12500 м²,40 000 000 ₽,3 200 ₽,Производство,22/2/2019,13/8/2020,1136949521,"Московская область, Кашира, микрорайон Кашира-1, Кашира, Московская область",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-kashira-1136949521,"Имущество не заложено, исковых требований не имеется.   Предприятие находится на юге Московской области, в Каширском районе ,базируется на 1-й единой площадке,  в черте города Кашира, в 10 минутах ходьбы от  ближайшей автобусной остановки, в 10 минутах от центра старой части города – от Полиции, Банков, Почты.   Предприятие доступно для грузового автотранспорта  и находится в  100 км от МКАД, южное направление по автодороге  «Москва ДОН- М4» и «ЕККН». Движение автотранспорта по новой автомагистрали М4- «ДОН»  до МКАД  составляет  45-60 минут.    Рядом расположена ж.д. станция  с контейнерными и таможенными площадками в г. Кашира в 10 минут пути и г. Ступино 25 минут пути   Предприятие в районе имеет хорошую репутацию. Имеет прекрасный вид на р. Ока.    ЖД ветки нет.    Процедуры  ликвидации и процедуры банкротства за весь период работы предприятия не проводилось. В отношении предприятия и его представителей касающейся их профессиональной деятельности  в порядке, предусмотренном  Уголовным Кодексом РФ, Налоговым Кодексом РФ, никаких уголовных, гражданских дел не возбуждено.      Общая площадь земли ( в собственности) – 18 718.4 м   Земли застроено 8 388.7 м   Земли под асфальт- 0,5 Га.   Общая площадь строений ( в собственности) ( цеха, клады, административный корпус, проходная) -   12 500 м   Площадь строений зарегистрированная - 11 747.6 м     Мощность выделенной электроэнергии  600 кВт   Собственная электро- подстанция с 2-я трансформаторами.   Собственная газовая котельная ( 2 котла, ГРУ, насосная)    Газопровод проходит по территории предприятия.   Система канализация, водоснабжение.   На территории имеется 2 подъемных механизма тельферы ( при въезде на открытой площадке, цеховые для разгрузки внутри цеха, внутри дворовой для обслуживание внутреннего двора.   Внутри производственных и складских помещений есть межэтажные и потолочные грузовые подъемники для перемещения продукции и заготовок.  Топографическая и архитектурная особенность расположения некоторых зданий на склоне, позволяет производить разгрузочные работы автотранспорта как на 1-м так и на 2-м этаже.  Здания корпусов в основном были возведены в 80-90х годах, кирпично-бетонные, крыши всего предприятия отремонтированы и покрыты оцинкованным проф-настилом.  Ранее велось производство мебели, скобы и РТИ.   В настоящий момент здания освобождены от оборудования.Посредникам %%"
"Коммерческая недвижимость, 3363 м²",Москва,Алтуфьево,,,,Коммерческая недвижимость,,3363 м²,300 000 000 ₽,89 206 ₽,Коммерческая недвижимость,26/6/2020,17/8/2020,2685809804,"Московская область, городской округ Мытищи, посёлок Нагорное, коттеджный посёлок Нехлюдово, Вербная улица, 17, Москва",https://www.domofond.ru/kommercheskayanedvizhimost-na-prodazhu-moskva-2685809804,"Показ 17, 18, 19 августа 2020Уникальное расположение участка, близко от Москвы и в большом лесном массиве. На территории находится действующая База отдыха. Все коммуникации подключены.Здания эксплуатируются.Гостиница в 3 этажа с рестораном и отдельно стоящим банкетным залом. 4 коттеджа от 110 до 140 м², административные здания.Картинг трёхуровневый, уникальный в Подмосковье площадью 500 м². Площадки для отдыха.Здания в собственности организации, земля в долгосрочной арендеНазначения использования земли можно изменить.Имущественный комплекс подходит для организации отдыха, медицинского центра, жилищного строительстваЕсть возможность арендовать 10 Га земли без строений дополнительно."
